# t_us_pico,raw,volt
186,34152,1.7197
4034,35032,1.7640
8036,34040,1.7141
12031,32487,1.6359
16029,31831,1.6028
20030,33032,1.6633
24030,33976,1.7109
28031,33112,1.6673
32036,31399,1.5811
36036,30871,1.5545
40035,32327,1.6278
44036,33160,1.6698
48033,32583,1.6407
52032,30935,1.5577
56037,30535,1.5376
60034,31943,1.6085
64031,33320,1.6778
68030,32647,1.6439
72033,31271,1.5746
76035,31175,1.5698
80035,32087,1.6157
84033,33256,1.6746
88034,32391,1.6310
92036,30919,1.5569
96030,30487,1.5352
100034,31751,1.5988
104032,32952,1.6593
108032,32407,1.6318
112038,30999,1.5609
116031,30551,1.5384
120035,31911,1.6069
124031,33048,1.6641
128035,32391,1.6310
132031,31079,1.5650
136031,30951,1.5585
140031,32055,1.6141
144034,33512,1.6875
148032,32824,1.6528
152032,31591,1.5908
156031,31239,1.5730
160033,32343,1.6286
164034,33192,1.6714
168036,32535,1.6383
172034,31495,1.5859
176036,31223,1.5722
180033,32327,1.6278
184032,33608,1.6923
188034,32888,1.6561
192031,31479,1.5851
196030,31111,1.5666
200035,32583,1.6407
204033,33528,1.6883
208034,32936,1.6585
212030,31991,1.6109
216031,31191,1.5706
220033,32487,1.6359
224031,33880,1.7060
228036,33192,1.6714
232034,31591,1.5908
236036,31191,1.5706
240031,32471,1.6351
244037,33496,1.6867
248037,33032,1.6633
252031,31911,1.6069
256033,31239,1.5730
260033,32423,1.6327
264035,33624,1.6931
268037,32856,1.6545
272032,31463,1.5843
276032,31047,1.5634
280036,32471,1.6351
284032,33480,1.6859
288034,32792,1.6512
292034,31447,1.5835
296037,31015,1.5618
300031,32279,1.6254
304035,33576,1.6907
308035,33304,1.6770
312032,31431,1.5827
316032,31303,1.5763
320035,32295,1.6262
324032,33704,1.6972
328032,32920,1.6577
332033,31639,1.5932
336036,31367,1.5795
340036,32407,1.6318
344036,33528,1.6883
348033,32808,1.6520
352035,31351,1.5787
356031,31015,1.5618
360031,32279,1.6254
364032,33736,1.6988
368030,33096,1.6665
372031,31847,1.6036
376033,31879,1.6053
380036,33192,1.6714
384033,34280,1.7262
388032,33832,1.7036
392030,32487,1.6359
396031,32295,1.6262
400037,33784,1.7012
404030,35240,1.7745
408033,34792,1.7519
412034,33816,1.7028
416031,33384,1.6810
420031,34824,1.7536
424031,36072,1.8164
428031,35368,1.7809
432030,33288,1.6762
436031,32471,1.6351
440032,33208,1.6722
444032,33912,1.7076
448036,32824,1.6528
452030,31527,1.5875
456035,30551,1.5384
460034,31783,1.6004
464035,32984,1.6609
468038,32375,1.6302
472032,30855,1.5537
476032,30711,1.5464
480036,31815,1.6020
484034,32920,1.6577
488032,32039,1.6133
492032,30695,1.5456
496036,30423,1.5319
500035,32135,1.6182
504034,32776,1.6504
508034,32087,1.6157
512035,30695,1.5456
516033,30455,1.5336
520031,31895,1.6061
524034,32840,1.6537
528031,32231,1.6230
532032,30279,1.5247
536033,28983,1.4594
540038,30103,1.5158
544037,31543,1.5883
548033,31527,1.5875
552032,31463,1.5843
556031,33528,1.6883
560030,37769,1.9018
564036,41754,2.1025
568036,43306,2.1807
572031,42986,2.1646
576031,41194,2.0743
580034,39737,2.0009
584031,37769,1.9018
588030,34248,1.7246
592032,31239,1.5730
596034,29495,1.4852
600031,30279,1.5247
604035,31751,1.5988
608037,31335,1.5779
612030,30103,1.5158
616034,29991,1.5102
620033,31095,1.5658
624031,31975,1.6101
628037,31047,1.5634
632032,29751,1.4981
636033,29623,1.4917
640034,30807,1.5513
644033,31879,1.6053
648032,31175,1.5698
652033,29911,1.5062
656036,29735,1.4973
660034,31159,1.5690
664032,32503,1.6367
668030,31927,1.6077
672032,30327,1.5271
676032,30135,1.5174
680032,31511,1.5867
684034,32647,1.6439
688030,31991,1.6109
692031,30631,1.5424
696032,30375,1.5295
700030,31527,1.5875
704033,32663,1.6447
708030,32279,1.6254
712033,30967,1.5593
716030,30759,1.5489
720034,32199,1.6214
724031,33736,1.6988
728035,33048,1.6641
732036,31719,1.5972
736036,31783,1.6004
740034,33224,1.6730
744033,34376,1.7310
748033,33464,1.6851
752033,32343,1.6286
756030,32471,1.6351
760034,33944,1.7092
764030,35112,1.7681
768031,34312,1.7278
772035,33224,1.6730
776028,33144,1.6690
780033,34536,1.7391
784032,35640,1.7946
788037,34936,1.7592
792033,33608,1.6923
796032,33528,1.6883
800035,34696,1.7471
804031,35800,1.8027
808033,34968,1.7608
812035,33384,1.6810
816031,32824,1.6528
820032,34008,1.7125
824035,34488,1.7366
828035,33768,1.7004
832035,32007,1.6117
836036,31495,1.5859
840034,32695,1.6463
844034,33480,1.6859
848034,32663,1.6447
852033,31255,1.5738
856031,30903,1.5561
860030,32359,1.6294
864034,33400,1.6818
868035,32439,1.6335
872035,31095,1.5658
876030,30839,1.5529
880037,32343,1.6286
884035,33080,1.6657
888030,32215,1.6222
892033,30871,1.5545
896033,30775,1.5497
900033,31847,1.6036
904033,32808,1.6520
908033,32071,1.6149
912032,30887,1.5553
916035,30743,1.5481
920036,31911,1.6069
924031,33032,1.6633
928031,32471,1.6351
932034,30919,1.5569
936035,30791,1.5505
940032,32631,1.6431
944036,33640,1.6939
948036,33208,1.6722
952035,31831,1.6028
956031,32023,1.6125
960030,33560,1.6899
964032,34904,1.7576
968031,35048,1.7648
972032,35288,1.7769
976032,37017,1.8640
980031,40905,2.0598
984036,44954,2.2636
988031,47771,2.4055
992032,49772,2.5063
996033,52108,2.6239
1000030,55149,2.7770
1004032,57165,2.8785
1008029,57085,2.8745
1012032,55181,2.7786
1016034,55533,2.7964
1020031,58206,2.9309
1024029,60334,3.0381
1028032,59358,2.9890
1032033,55869,2.8133
1036037,52844,2.6609
1040029,52460,2.6416
1044036,51100,2.5731
1048030,47499,2.3918
1052032,43370,2.1839
1056036,40249,2.0267
1060037,38217,1.9244
1064032,35160,1.7705
1068030,30327,1.5271
1072030,25686,1.2934
1076030,23013,1.1588
1080036,23477,1.1822
1084035,23749,1.1959
1088031,22869,1.1516
1092032,21477,1.0815
1096036,21477,1.0815
1100033,22245,1.1201
1104030,23125,1.1645
1108032,22389,1.1274
1112034,20581,1.0364
1116034,20388,1.0266
1120033,21973,1.1064
1124038,22837,1.1500
1128033,21973,1.1064
1132033,20613,1.0380
1136036,20549,1.0347
1140030,21637,1.0895
1144035,22437,1.1298
1148030,21941,1.1048
1152029,20164,1.0154
1156034,19620,0.9880
1160037,20949,1.0549
1164032,21685,1.0919
1168032,20645,1.0396
1172036,19124,0.9630
1176031,18980,0.9557
1180031,19828,0.9984
1184032,20821,1.0484
1188035,19908,1.0025
1192036,18708,0.9420
1196032,18580,0.9356
1200034,19940,1.0041
1204030,21109,1.0629
1208033,20196,1.0170
1212037,18676,0.9404
1216030,18580,0.9356
1220035,20452,1.0299
1224037,21381,1.0766
1228036,21477,1.0815
1232033,20949,1.0549
1236030,21365,1.0758
1240031,23477,1.1822
1244036,25078,1.2628
1248033,25062,1.2620
1252034,24421,1.2297
1256029,25414,1.2797
1260031,27686,1.3941
1264035,29239,1.4723
1268031,28855,1.4530
1272030,28358,1.4280
1276037,28198,1.4199
1280034,30263,1.5239
1284034,31143,1.5682
1288035,30695,1.5456
1292031,29671,1.4941
1296035,29879,1.5046
1300029,31895,1.6061
1304035,33528,1.6883
1308032,32840,1.6537
1312030,31655,1.5940
1316037,31495,1.5859
1320036,32888,1.6561
1324032,33544,1.6891
1328033,32599,1.6415
1332035,31223,1.5722
1336035,31015,1.5618
1340036,32503,1.6367
1344034,33496,1.6867
1348030,32551,1.6391
1352031,31047,1.5634
1356037,31191,1.5706
1360037,32599,1.6415
1364030,33656,1.6947
1368031,32631,1.6431
1372035,31559,1.5891
1376032,31399,1.5811
1380030,32391,1.6310
1384031,33528,1.6883
1388034,32679,1.6455
1392033,31495,1.5859
1396035,31703,1.5964
1400033,33048,1.6641
1404028,33880,1.7060
