# t_ms,raw,volt
0.2,21141,1.0646
4.0,21109,1.0629
8.0,20276,1.0210
12.0,19844,0.9992
16.0,19460,0.9799
20.0,19636,0.9888
24.0,19684,0.9912
28.0,19380,0.9759
32.0,18868,0.9501
36.0,18868,0.9501
40.0,18900,0.9517
44.0,18868,0.9501
48.0,18484,0.9308
52.0,17908,0.9018
56.0,18196,0.9163
60.0,18484,0.9308
64.0,19236,0.9686
68.0,19236,0.9686
72.0,19012,0.9573
76.0,19380,0.9759
80.0,20869,1.0509
84.0,21973,1.1064
88.0,22581,1.1371
92.0,22981,1.1572
96.0,24389,1.2281
100.0,25414,1.2797
104.0,26710,1.3450
108.0,27334,1.3764
112.0,28102,1.4151
116.0,29207,1.4707
120.0,30503,1.5360
124.0,31447,1.5835
128.0,31847,1.6036
132.0,32167,1.6198
136.0,32567,1.6399
140.0,33640,1.6939
144.0,34216,1.7229
148.0,34376,1.7310
152.0,33880,1.7060
156.0,34088,1.7165
160.0,34728,1.7487
164.0,34968,1.7608
168.0,34968,1.7608
172.0,34536,1.7391
176.0,34600,1.7423
180.0,35240,1.7745
184.0,35784,1.8019
188.0,36056,1.8156
192.0,35880,1.8067
196.0,36152,1.8204
200.0,36424,1.8341
204.0,36584,1.8422
208.0,36648,1.8454
212.0,36408,1.8333
216.0,36712,1.8486
220.0,36712,1.8486
224.0,36440,1.8349
228.0,35816,1.8035
232.0,35160,1.7705
236.0,34152,1.7197
240.0,34008,1.7125
244.0,33960,1.7100
248.0,33608,1.6923
252.0,32840,1.6537
256.0,32631,1.6431
260.0,33272,1.6754
264.0,33384,1.6810
268.0,32936,1.6585
272.0,32327,1.6278
276.0,32103,1.6165
280.0,32599,1.6415
284.0,32856,1.6545
288.0,32295,1.6262
292.0,31863,1.6045
296.0,31927,1.6077
300.0,32295,1.6262
304.0,32455,1.6343
308.0,32199,1.6214
312.0,31767,1.5996
316.0,31959,1.6093
320.0,32327,1.6278
324.0,32792,1.6512
328.0,32471,1.6351
332.0,31719,1.5972
336.0,31879,1.6053
340.0,32103,1.6165
344.0,32551,1.6391
348.0,32343,1.6286
352.0,31399,1.5811
356.0,31479,1.5851
360.0,32231,1.6230
364.0,32407,1.6318
368.0,32039,1.6133
372.0,31495,1.5859
376.0,30951,1.5585
380.0,30775,1.5497
384.0,30471,1.5344
388.0,30311,1.5263
392.0,30743,1.5481
396.0,31863,1.6045
400.0,34152,1.7197
404.0,37145,1.8704
408.0,39561,1.9921
412.0,41898,2.1098
416.0,44058,2.2185
420.0,44282,2.2298
424.0,42154,2.1227
428.0,38777,1.9526
432.0,35288,1.7769
436.0,32231,1.6230
440.0,30759,1.5489
444.0,29911,1.5062
448.0,29447,1.4828
452.0,30055,1.5134
456.0,30871,1.5545
460.0,31623,1.5924
464.0,31575,1.5900
468.0,31159,1.5690
472.0,30791,1.5505
476.0,30839,1.5529
480.0,31415,1.5819
484.0,31863,1.6045
488.0,31319,1.5771
492.0,31415,1.5819
496.0,30999,1.5609
500.0,31479,1.5851
504.0,31879,1.6053
508.0,31687,1.5956
512.0,31479,1.5851
516.0,31303,1.5763
520.0,31559,1.5891
524.0,31975,1.6101
528.0,31623,1.5924
532.0,31511,1.5867
536.0,31303,1.5763
540.0,31767,1.5996
544.0,32039,1.6133
548.0,32119,1.6173
552.0,31735,1.5980
556.0,31831,1.6028
560.0,32343,1.6286
564.0,32647,1.6439
568.0,32423,1.6327
572.0,32007,1.6117
576.0,32327,1.6278
580.0,32968,1.6601
584.0,33320,1.6778
588.0,33224,1.6730
592.0,32888,1.6561
596.0,33128,1.6682
600.0,33832,1.7036
604.0,34408,1.7326
608.0,34696,1.7471
612.0,34264,1.7254
616.0,34296,1.7270
620.0,34888,1.7568
624.0,35560,1.7906
628.0,35240,1.7745
632.0,34840,1.7544
636.0,34840,1.7544
640.0,35464,1.7858
644.0,35352,1.7801
648.0,34904,1.7576
652.0,34216,1.7229
656.0,34088,1.7165
660.0,34232,1.7237
664.0,34360,1.7302
668.0,33336,1.6786
672.0,32663,1.6447
676.0,32503,1.6367
680.0,32904,1.6569
684.0,33240,1.6738
688.0,32631,1.6431
692.0,32583,1.6407
696.0,32343,1.6286
700.0,32631,1.6431
704.0,32743,1.6488
708.0,32311,1.6270
712.0,31623,1.5924
716.0,31799,1.6012
720.0,32135,1.6182
724.0,32151,1.6190
728.0,31671,1.5948
732.0,31223,1.5722
736.0,31191,1.5706
740.0,31751,1.5988
744.0,32023,1.6125
748.0,31815,1.6020
752.0,31495,1.5859
756.0,31479,1.5851
760.0,31959,1.6093
764.0,32215,1.6222
768.0,31991,1.6109
772.0,31767,1.5996
776.0,31975,1.6101
780.0,32103,1.6165
784.0,32824,1.6528
788.0,32471,1.6351
792.0,32247,1.6238
796.0,32247,1.6238
800.0,32727,1.6480
804.0,33192,1.6714
808.0,32503,1.6367
812.0,32039,1.6133
816.0,32295,1.6262
820.0,32599,1.6415
824.0,32583,1.6407
828.0,32423,1.6327
832.0,32327,1.6278
836.0,32151,1.6190
840.0,32471,1.6351
844.0,32391,1.6310
848.0,32199,1.6214
852.0,31735,1.5980
856.0,32071,1.6149
860.0,32215,1.6222
864.0,32407,1.6318
868.0,32087,1.6157
872.0,31751,1.5988
876.0,32199,1.6214
880.0,32311,1.6270
884.0,32727,1.6480
888.0,32583,1.6407
892.0,31975,1.6101
